Class,Precision,Recall,F1,Support
1,0.5,0.2,0.2857,5
2,0.1667,0.2,0.1818,5
3,1.0,1.0,1.0,5
4,0.4,0.8,0.5333,5
5,0.4545,1.0,0.625,5
A,1.0,1.0,1.0,5
B,0.0,0.0,0.0,6
C,1.0,1.0,1.0,6
D,1.0,1.0,1.0,5
E,0.8,0.8,0.8,5
F,1.0,0.8333,0.9091,6
G,0.5,0.2,0.2857,5
H,0.0,0.0,0.0,5
HELLO,0.0,0.0,0.0,5
I,1.0,1.0,1.0,6
J,1.0,1.0,1.0,5
K,0.0,0.0,0.0,5
L,0.5556,1.0,0.7143,5
M,0.3571,1.0,0.5263,5
N,0.0,0.0,0.0,6
O,1.0,0.8333,0.9091,6
P,0.5,1.0,0.6667,5
Q,1.0,1.0,1.0,5
R,0.0,0.0,0.0,5
S,0.5,0.2,0.2857,5
T,1.0,1.0,1.0,5
U,0.0,0.0,0.0,5
V,1.0,1.0,1.0,5
W,1.0,1.0,1.0,6
X,1.0,1.0,1.0,5
Y,1.0,1.0,1.0,5
Z,0.6,1.0,0.75,6
